Year,Plot,Line,Check,Pedigree,Field row,Field column,Rep,Block,DF,DPM,100SdW,TSW,PoM,Area harvested,Plants harvested,Yd,PHI,SdFe,SdZn
2013,4001,MGC_009,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,1,1,1,33,61,16.37209302,68.04,12,1.8,23,386.7906977,73.34476844,NA,NA
2013,4002,MGC_009,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,2,1,1,33,61,16.37209302,54.432,12,1.8,24,309.4325581,73.34476844,NA,NA
2013,4003,MGC_288,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,3,1,1,35,64,22.63953488,226.8,11.5,1.8,44,1296.627907,74.8457951,NA,NA
2013,4004,MGC_288,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,4,1,1,35,64,22.30697674,281.232,12.8,1.8,42,1584.20093,74.8457951,NA,NA
2013,4005,MGC_728,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,5,1,1,32,65,24.66976744,108.864,11.6,1.8,18,621.6781395,74.55142785,NA,NA
2013,4006,MGC_728,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,6,1,1,32,65,24.66976744,117.936,11.6,1.8,24,673.4846512,74.55142785,NA,NA
2013,4007,MGC_588,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,7,1,1,33,59,20.46511628,40.824,12,1.8,13,232.0744186,73.28431373,NA,NA
2013,4008,MGC_588,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,8,1,1,33,59,20.46511628,95.256,12,1.8,17,541.5069767,73.28431373,NA,NA
2013,4009,DOR_390,check,DOR364/G18521//DOR365/LM30630,1,9,1,1,39,66,12.27906977,4.536,12,1.8,5,25.78604651,71.73678533,NA,NA
2013,4010,DOR_390,check,DOR364/G18521//DOR365/LM30630,1,10,1,1,39,66,12.27906977,81.648,12,1.8,20,464.1488372,71.73678533,NA,NA
2013,4011,DOR_390,check,DOR364/G18521//DOR365/LM30630,1,11,1,2,37,65,16.37209302,68.04,12,1.8,19,386.7906977,76.74208145,NA,NA
2013,4012,DOR_390,check,DOR364/G18521//DOR365/LM30630,1,12,1,2,37,65,16.37209302,31.752,12,1.8,22,180.5023256,76.74208145,NA,NA
2013,4013,MGC_791,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,13,1,2,37,61,26.27209302,90.72,13.1,1.8,23,509.2744186,71.18987342,NA,NA
2013,4014,MGC_791,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,14,1,2,37,61,26.27209302,149.688,13.1,1.8,36,840.3027907,71.18987342,NA,NA
2013,4015,MGC_478,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,15,1,2,34,60,18.56511628,72.576,11.3,1.8,23,415.8586047,65.09863429,NA,NA
2013,4016,MGC_478,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,16,1,2,34,60,18.56511628,113.4,11.3,1.8,31,649.7790698,65.09863429,NA,NA
2013,4017,MGC_585,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,17,1,2,36,65,24.55813953,9.072,12,1.8,4,51.57209302,62.44855967,NA,NA
2013,4018,MGC_585,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,18,1,2,36,65,24.55813953,77.112,12,1.8,17,438.3627907,62.44855967,NA,NA
2013,4019,MGC_499,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,19,1,2,34,63,20.46511628,90.72,12,1.8,16,515.7209302,73.70848708,NA,NA
2013,4020,MGC_499,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,1,20,1,2,34,63,20.46511628,13.608,12,1.8,18,77.35813953,73.70848708,NA,NA
2013,4021,MGC_602,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,20,1,2,36,63,20.58139535,95.256,11.5,1.8,28,544.5837209,69.22238372,NA,NA
2013,4022,MGC_602,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,19,1,2,36,63,20.58139535,99.792,11.5,1.8,24,570.5162791,69.22238372,NA,NA
2013,4023,MGC_463,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,18,1,2,37,61,26.60465116,27.216,12,1.8,8,154.7162791,67.83262504,NA,NA
2013,4024,MGC_463,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,17,1,2,37,61,26.60465116,36.288,12,1.8,6,206.2883721,67.83262504,NA,NA
2013,4025,MGC_840,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,16,1,2,37,65,18.41860465,18.144,12,1.8,6,103.144186,73.65921788,NA,NA
2013,4026,MGC_840,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,15,1,2,37,65,18.41860465,140.616,12,1.8,24,799.3674419,73.65921788,NA,NA
2013,4027,SEF_40,check,NA,2,14,1,2,33,60,24.44651163,95.256,12.4,1.2,27,808.5683721,65.05028736,NA,NA
2013,4028,SEF_40,check,NA,2,13,1,2,33,60,24.44651163,95.256,12.4,1.8,15,539.0455814,65.05028736,NA,NA
2013,4029,MGC_422,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,2,12,1,2,36,59,24.61395349,90.72,11.8,1.8,17,516.8930233,76.65013354,NA,NA
2013,4030,MGC_422,NA,SXB412/INB827//ALB213/SEN56///SCR2/MIB778//SCR9/INB841,4,8,1,2,36,59,27.90697674,NA,NA,1.8,NA,NA,76.65013354,NA,NA
