Line,Method,Year,DF,DPM,PHI,100SdW,Yd,SdFe ,SdZn 
ALB_213,BLUP,2013,34.35,63.42,74.14,20.68,997.87,NA,NA
ALB_213,BLUE,2013,34.34,63.45,74.35,20.54,1104.98,NA,NA
INB_827,BLUP,2013,35.74,62.39,76.41,24.68,763.78,NA,NA
INB_827,BLUE,2013,35.75,62.36,76.89,24.79,744.87,NA,NA
INB_841,BLUP,2013,32.05,60.96,73.78,19.27,747.92,NA,NA
INB_841,BLUE,2013,31.98,60.87,73.77,19.19,747.44,NA,NA
MGC_001,BLUP,2013,33.70,61.36,74.08,21.70,878.66,NA,NA
MGC_001,BLUE,2013,33.67,61.40,74.21,21.67,899.05,NA,NA
MGC_002,BLUP,2013,34.31,60.65,73.01,21.56,731.57,NA,NA
MGC_002,BLUE,2013,34.29,60.55,73.25,21.50,716.64,NA,NA
MGC_003,BLUP,2013,37.12,62.74,76.22,21.31,806.09,NA,NA
MGC_003,BLUE,2013,37.15,62.77,76.72,21.31,846.24,NA,NA
MGC_004,BLUP,2013,37.85,62.37,74.48,19.51,842.67,NA,NA
MGC_004,BLUE,2013,37.90,62.40,74.55,19.37,843.47,NA,NA
MGC_005,BLUP,2013,32.62,58.35,71.35,23.37,750.08,NA,NA
MGC_005,BLUE,2013,32.56,58.20,71.34,23.39,746.50,NA,NA
MGC_006,BLUP,2013,35.76,60.67,68.09,20.15,835.47,NA,NA
MGC_006,BLUE,2013,35.76,60.60,67.64,20.02,879.66,NA,NA
MGC_007,BLUP,2013,33.45,61.33,70.33,30.72,746.35,NA,NA
MGC_007,BLUE,2013,33.40,61.35,69.97,31.13,742.97,NA,NA
MGC_008,BLUP,2013,34.01,61.82,74.86,24.54,812.97,NA,NA
MGC_008,BLUE,2013,34.00,61.85,75.15,24.61,829.43,NA,NA
MGC_009,BLUP,2013,32.64,59.60,73.55,21.03,700.60,NA,NA
MGC_009,BLUE,2013,32.56,59.38,73.68,20.97,702.30,NA,NA
MGC_011,BLUP,2013,33.39,61.33,76.78,22.03,925.57,NA,NA
MGC_011,BLUE,2013,33.35,61.29,77.10,22.03,978.73,NA,NA
MGC_012,BLUP,2013,33.93,60.41,77.56,23.74,965.44,NA,NA
MGC_012,BLUE,2013,33.92,60.41,78.07,23.73,1037.78,NA,NA
MGC_013,BLUP,2013,32.97,61.18,70.99,24.00,841.79,NA,NA
MGC_013,BLUE,2013,32.91,61.13,70.80,24.04,890.97,NA,NA
MGC_015,BLUP,2013,32.21,58.09,68.70,20.93,816.96,NA,NA
MGC_015,BLUE,2013,32.13,57.95,68.17,20.82,856.51,NA,NA
MGC_016,BLUP,2013,33.75,60.94,76.70,21.70,983.71,NA,NA
MGC_016,BLUE,2013,33.70,60.87,77.08,21.66,1068.50,NA,NA
MGC_017,BLUP,2013,34.41,61.13,72.21,21.69,854.27,NA,NA
MGC_017,BLUE,2013,34.39,61.06,72.27,21.64,922.86,NA,NA
MGC_019,BLUP,2013,36.06,63.07,60.57,23.58,732.56,NA,NA
MGC_019,BLUE,2013,36.07,62.93,59.36,23.68,728.50,NA,NA
MGC_021,BLUP,2013,37.97,66.13,67.65,23.81,759.56,NA,NA
MGC_021,BLUE,2013,38.06,66.27,66.99,23.86,725.64,NA,NA
MGC_023,BLUP,2013,33.33,60.61,72.05,22.53,729.29,NA,NA
MGC_023,BLUE,2013,33.27,60.56,72.03,22.52,729.83,NA,NA
MGC_025,BLUP,2013,33.18,62.37,72.74,28.75,850.93,NA,NA
MGC_025,BLUE,2013,33.12,62.34,72.73,29.07,867.39,NA,NA
MGC_026,BLUP,2013,32.28,61.05,75.18,28.39,739.49,NA,NA
MGC_026,BLUE,2013,32.22,61.09,75.57,28.65,733.81,NA,NA
MGC_027,BLUP,2013,34.27,60.08,74.96,21.71,899.40,NA,NA
MGC_027,BLUE,2013,34.22,60.02,75.21,21.74,966.59,NA,NA
MGC_029,BLUP,2013,38.30,62.22,64.44,25.92,483.12,NA,NA
MGC_029,BLUE,2013,38.36,62.28,63.32,26.08,376.99,NA,NA
MGC_031,BLUP,2013,38.37,63.21,77.55,22.16,775.05,NA,NA
MGC_031,BLUE,2013,38.43,63.27,78.24,22.12,791.89,NA,NA
