Repeat,Fold,Model,NTrain,NTest,Markers,Correlation,RMSE,TimeSeconds
1,1,GBLUP,481,121,12152,0.181648240437035,106.61812675996,5.22
1,1,MIBLUP,481,121,12152,0.186263991149013,107.171816751465,5.92
1,2,GBLUP,481,121,12150,0.13418382073596,98.6231577958353,5.48
1,2,MIBLUP,481,121,12150,0.152291222009595,98.5640761213426,5.86
1,3,GBLUP,482,120,12150,0.258538265577417,93.9802344976178,5.42
1,3,MIBLUP,482,120,12150,0.257626311844905,94.053749338281,5.9
1,4,GBLUP,482,120,12149,0.335663538884463,96.2291751536611,5.39
1,4,MIBLUP,482,120,12149,0.325198949873801,96.1442675741784,5.75
1,5,GBLUP,482,120,12149,0.398812390880671,98.5935443855471,5.59
1,5,MIBLUP,482,120,12149,0.401456385124029,97.5994353477579,5.8
2,1,GBLUP,481,121,12147,0.0778759296105294,103.674608692434,5.42
2,1,MIBLUP,481,121,12147,0.0685305862341279,104.857246798897,5.66999999999999
2,2,GBLUP,481,121,12151,0.255350551294675,91.9046138257512,5.23
2,2,MIBLUP,481,121,12151,0.262600994783316,91.8631134556065,5.72999999999999
2,3,GBLUP,482,120,12151,0.118450629610484,100.179167036534,6.27
2,3,MIBLUP,482,120,12151,0.128024335111113,100.590129363051,6.25
2,4,GBLUP,482,120,12151,0.272284815705678,112.849720438918,5.33000000000001
2,4,MIBLUP,482,120,12151,0.272426778712113,112.568352807233,5.91999999999999
2,5,GBLUP,482,120,12151,0.327374491642529,90.4232960248034,5.40999999999998
2,5,MIBLUP,482,120,12151,0.356378490516189,89.216152219948,5.81
3,1,GBLUP,481,121,12151,0.108857866118121,85.877290092241,5.51000000000002
3,1,MIBLUP,481,121,12151,0.108008787922901,86.6927818327475,5.78
3,2,GBLUP,481,121,12149,0.249091904193895,117.463750197195,5.28
3,2,MIBLUP,481,121,12149,0.25541368361034,117.239035239395,5.79999999999998
3,3,GBLUP,482,120,12150,0.319042706925892,96.7955834086092,5.27000000000001
3,3,MIBLUP,482,120,12150,0.33531164872341,95.9428930823176,5.66999999999999
3,4,GBLUP,482,120,12147,0.333276201259391,87.7285888965537,5.27000000000001
3,4,MIBLUP,482,120,12147,0.328728962250998,87.4454425477574,5.69999999999999
3,5,GBLUP,482,120,12153,0.308747613934797,101.261282451594,5.33000000000001
3,5,MIBLUP,482,120,12153,0.321392650491203,100.679157903964,5.73999999999998
