Year,Location,Treatment,Condition,Nitrogen,Fungicide,Water,n_parcelas,n_cultivares,n_yield
2015,GGE,HN_NF_RF,2015__GGE__HN_NF_RF,HN,NF,RF,440,220,439
2015,GGE,HN_WF_RF,2015__GGE__HN_WF_RF,HN,WF,RF,880,220,878
2015,GGE,LN_NF_RF,2015__GGE__LN_NF_RF,LN,NF,RF,440,220,438
2015,HAN,HN_NF_RF,2015__HAN__HN_NF_RF,HN,NF,RF,440,220,440
2015,HAN,HN_WF_RF,2015__HAN__HN_WF_RF,HN,WF,RF,440,220,440
2015,HAN,LN_NF_RF,2015__HAN__LN_NF_RF,LN,NF,RF,440,220,440
2015,KAL,HN_NF_RF,2015__KAL__HN_NF_RF,HN,NF,RF,440,220,440
2015,KAL,HN_WF_RF,2015__KAL__HN_WF_RF,HN,WF,RF,440,220,439
2015,KAL,LN_NF_RF,2015__KAL__LN_NF_RF,LN,NF,RF,440,220,440
2015,KIE,HN_NF_RF,2015__KIE__HN_NF_RF,HN,NF,RF,660,220,656
2015,KIE,HN_WF_RF,2015__KIE__HN_WF_RF,HN,WF,RF,660,220,656
2015,KIE,LN_NF_RF,2015__KIE__LN_NF_RF,LN,NF,RF,660,220,658
2015,QLB,HN_NF_RF,2015__QLB__HN_NF_RF,HN,NF,RF,440,220,440
2015,QLB,HN_WF_RF,2015__QLB__HN_WF_RF,HN,WF,RF,440,220,440
2015,QLB,LN_NF_RF,2015__QLB__LN_NF_RF,LN,NF,RF,440,220,440
2015,QLB,LN_WF_RF,2015__QLB__LN_WF_RF,LN,WF,RF,440,220,440
2015,RHH,HN_NF_RF,2015__RHH__HN_NF_RF,HN,NF,RF,440,220,440
2015,RHH,HN_WF_RF,2015__RHH__HN_WF_RF,HN,WF,RF,440,220,440
2015,RHH,LN_NF_RF,2015__RHH__LN_NF_RF,LN,NF,RF,440,220,440
2016,GGE,HN_NF_RF,2016__GGE__HN_NF_RF,HN,NF,RF,440,220,440
2016,GGE,HN_WF_RF,2016__GGE__HN_WF_RF,HN,WF,RF,880,220,880
2016,GGE,LN_NF_RF,2016__GGE__LN_NF_RF,LN,NF,RF,440,220,440
2016,HAN,HN_NF_RF,2016__HAN__HN_NF_RF,HN,NF,RF,440,220,440
2016,HAN,HN_WF_RF,2016__HAN__HN_WF_RF,HN,WF,RF,440,220,440
2016,HAN,LN_NF_RF,2016__HAN__LN_NF_RF,LN,NF,RF,440,220,440
2016,KAL,HN_NF_RF,2016__KAL__HN_NF_RF,HN,NF,RF,440,220,440
2016,KAL,HN_WF_RF,2016__KAL__HN_WF_RF,HN,WF,RF,440,220,440
2016,KAL,LN_NF_RF,2016__KAL__LN_NF_RF,LN,NF,RF,440,220,440
2016,KIE,HN_NF_RF,2016__KIE__HN_NF_RF,HN,NF,RF,660,220,641
2016,KIE,HN_WF_RF,2016__KIE__HN_WF_RF,HN,WF,RF,660,220,634
2016,KIE,HN_WF_RO,2016__KIE__HN_WF_RO,HN,WF,RO,440,220,436
2016,KIE,LN_NF_RF,2016__KIE__LN_NF_RF,LN,NF,RF,660,220,629
2016,QLB,HN_NF_RF,2016__QLB__HN_NF_RF,HN,NF,RF,440,220,440
2016,QLB,HN_WF_RF,2016__QLB__HN_WF_RF,HN,WF,RF,440,220,440
2016,QLB,LN_NF_RF,2016__QLB__LN_NF_RF,LN,NF,RF,440,220,440
2016,QLB,LN_WF_RF,2016__QLB__LN_WF_RF,LN,WF,RF,440,220,440
2016,RHH,HN_NF_RF,2016__RHH__HN_NF_RF,HN,NF,RF,440,220,440
2016,RHH,HN_WF_RF,2016__RHH__HN_WF_RF,HN,WF,RF,440,220,440
2016,RHH,LN_NF_RF,2016__RHH__LN_NF_RF,LN,NF,RF,440,220,440
2017,GGE,HN_NF_RF,2017__GGE__HN_NF_RF,HN,NF,RF,440,220,440
2017,GGE,HN_WF_RF,2017__GGE__HN_WF_RF,HN,WF,RF,880,220,880
2017,GGE,LN_NF_RF,2017__GGE__LN_NF_RF,LN,NF,RF,440,220,440
2017,HAN,HN_NF_RF,2017__HAN__HN_NF_RF,HN,NF,RF,440,220,440
2017,HAN,HN_WF_RF,2017__HAN__HN_WF_RF,HN,WF,RF,440,220,438
2017,HAN,LN_NF_RF,2017__HAN__LN_NF_RF,LN,NF,RF,440,220,439
2017,KAL,HN_NF_RF,2017__KAL__HN_NF_RF,HN,NF,RF,440,220,440
2017,KAL,HN_WF_RF,2017__KAL__HN_WF_RF,HN,WF,RF,440,220,437
2017,KAL,LN_NF_RF,2017__KAL__LN_NF_RF,LN,NF,RF,440,220,440
2017,KIE,HN_NF_RF,2017__KIE__HN_NF_RF,HN,NF,RF,660,220,607
2017,KIE,HN_WF_RF,2017__KIE__HN_WF_RF,HN,WF,RF,660,220,618
2017,KIE,HN_WF_RO,2017__KIE__HN_WF_RO,HN,WF,RO,440,220,418
2017,KIE,LN_NF_RF,2017__KIE__LN_NF_RF,LN,NF,RF,660,220,571
2017,QLB,HN_NF_RF,2017__QLB__HN_NF_RF,HN,NF,RF,440,220,440
2017,QLB,HN_WF_RF,2017__QLB__HN_WF_RF,HN,WF,RF,440,220,440
2017,QLB,LN_NF_RF,2017__QLB__LN_NF_RF,LN,NF,RF,440,220,440
2017,QLB,LN_WF_RF,2017__QLB__LN_WF_RF,LN,WF,RF,440,220,440
2017,RHH,HN_NF_RF,2017__RHH__HN_NF_RF,HN,NF,RF,100,50,100
2017,RHH,HN_WF_RF,2017__RHH__HN_WF_RF,HN,WF,RF,100,50,100
2017,RHH,LN_NF_RF,2017__RHH__LN_NF_RF,LN,NF,RF,100,50,100
2017,RHH,LN_WF_RF,2017__RHH__LN_WF_RF,LN,WF,RF,100,50,100
2018,GGE,HN_NF_RF,2018__GGE__HN_NF_RF,HN,NF,RF,104,52,104
2018,GGE,HN_WF_RF,2018__GGE__HN_WF_RF,HN,WF,RF,208,52,206
2018,GGE,LN_NF_RF,2018__GGE__LN_NF_RF,LN,NF,RF,104,52,104
2018,GGE,LN_WF_RF,2018__GGE__LN_WF_RF,LN,WF,RF,104,52,103
2018,HAN,HN_NF_RF,2018__HAN__HN_NF_RF,HN,NF,RF,104,52,103
2018,HAN,HN_WF_RF,2018__HAN__HN_WF_RF,HN,WF,RF,104,52,104
2018,HAN,LN_NF_RF,2018__HAN__LN_NF_RF,LN,NF,RF,104,52,104
2018,HAN,LN_WF_RF,2018__HAN__LN_WF_RF,LN,WF,RF,104,52,104
2018,KAL,HN_WF_RF,2018__KAL__HN_WF_RF,HN,WF,RF,442,221,442
2018,KAL,LN_WF_RF,2018__KAL__LN_WF_RF,LN,WF,RF,442,221,442
2018,KIE,HN_NF_RF,2018__KIE__HN_NF_RF,HN,NF,RF,156,52,153
2018,KIE,HN_WF_RF,2018__KIE__HN_WF_RF,HN,WF,RF,156,52,155
2018,KIE,LN_NF_RF,2018__KIE__LN_NF_RF,LN,NF,RF,156,52,156
2018,KIE,LN_WF_RF,2018__KIE__LN_WF_RF,LN,WF,RF,156,52,156
2018,RHH,HN_WF_RF,2018__RHH__HN_WF_RF,HN,WF,RF,100,50,100
2018,RHH,LN_WF_RF,2018__RHH__LN_WF_RF,LN,WF,RF,100,50,99
2019,GGE,HN_NF_RF,2019__GGE__HN_NF_RF,HN,NF,RF,106,52,105
2019,GGE,HN_WF_RF,2019__GGE__HN_WF_RF,HN,WF,RF,212,52,209
2019,GGE,LN_NF_RF,2019__GGE__LN_NF_RF,LN,NF,RF,106,52,102
2019,GGE,LN_WF_RF,2019__GGE__LN_WF_RF,LN,WF,RF,106,52,104
2019,HAN,HN_NF_RF,2019__HAN__HN_NF_RF,HN,NF,RF,104,52,104
2019,HAN,HN_WF_RF,2019__HAN__HN_WF_RF,HN,WF,RF,104,52,104
2019,HAN,LN_NF_RF,2019__HAN__LN_NF_RF,LN,NF,RF,104,52,104
2019,HAN,LN_WF_RF,2019__HAN__LN_WF_RF,LN,WF,RF,104,52,104
2019,KAL,HN_WF_RF,2019__KAL__HN_WF_RF,HN,WF,RF,442,221,442
2019,KAL,LN_WF_RF,2019__KAL__LN_WF_RF,LN,WF,RF,442,221,442
2019,KIE,HN_NF_RF,2019__KIE__HN_NF_RF,HN,NF,RF,156,52,156
2019,KIE,HN_WF_RF,2019__KIE__HN_WF_RF,HN,WF,RF,156,52,156
2019,KIE,HN_WF_RO,2019__KIE__HN_WF_RO,HN,WF,RO,156,52,155
2019,KIE,LN_NF_RF,2019__KIE__LN_NF_RF,LN,NF,RF,156,52,156
2019,KIE,LN_WF_RF,2019__KIE__LN_WF_RF,LN,WF,RF,156,52,155
2019,RHH,HN_NF_RF,2019__RHH__HN_NF_RF,HN,NF,RF,104,52,104
2019,RHH,HN_WF_RF,2019__RHH__HN_WF_RF,HN,WF,RF,104,52,104
2019,RHH,LN_NF_RF,2019__RHH__LN_NF_RF,LN,NF,RF,104,52,104
2019,RHH,LN_WF_RF,2019__RHH__LN_WF_RF,LN,WF,RF,104,52,104
2020,KAL,HN_WF_RF,2020__KAL__HN_WF_RF,HN,WF,RF,442,221,442
2020,KAL,LN_WF_RF,2020__KAL__LN_WF_RF,LN,WF,RF,442,221,442
