Year,Location,Treatment,Condition,n_parcelas,n_cultivares,n_yield
2015,GGE,HN_NF_RF,2015__GGE__HN_NF_RF,440,220,439
2015,GGE,HN_WF_RF,2015__GGE__HN_WF_RF,880,220,878
2015,GGE,LN_NF_RF,2015__GGE__LN_NF_RF,440,220,438
2015,HAN,HN_NF_RF,2015__HAN__HN_NF_RF,440,220,440
2015,HAN,HN_WF_RF,2015__HAN__HN_WF_RF,440,220,440
2015,HAN,LN_NF_RF,2015__HAN__LN_NF_RF,440,220,440
2015,KAL,HN_NF_RF,2015__KAL__HN_NF_RF,440,220,440
2015,KAL,HN_WF_RF,2015__KAL__HN_WF_RF,440,220,439
2015,KAL,LN_NF_RF,2015__KAL__LN_NF_RF,440,220,440
2015,KIE,HN_NF_RF,2015__KIE__HN_NF_RF,660,220,656
2015,KIE,HN_WF_RF,2015__KIE__HN_WF_RF,660,220,656
2015,KIE,LN_NF_RF,2015__KIE__LN_NF_RF,660,220,658
2015,QLB,HN_NF_RF,2015__QLB__HN_NF_RF,440,220,440
2015,QLB,HN_WF_RF,2015__QLB__HN_WF_RF,440,220,440
2015,QLB,LN_NF_RF,2015__QLB__LN_NF_RF,440,220,440
2016,GGE,HN_NF_RF,2016__GGE__HN_NF_RF,440,220,440
2016,GGE,HN_WF_RF,2016__GGE__HN_WF_RF,880,220,880
2016,GGE,LN_NF_RF,2016__GGE__LN_NF_RF,440,220,440
2016,HAN,HN_NF_RF,2016__HAN__HN_NF_RF,440,220,440
2016,HAN,HN_WF_RF,2016__HAN__HN_WF_RF,440,220,440
2016,HAN,LN_NF_RF,2016__HAN__LN_NF_RF,440,220,440
2016,KAL,HN_NF_RF,2016__KAL__HN_NF_RF,440,220,440
2016,KAL,HN_WF_RF,2016__KAL__HN_WF_RF,440,220,440
2016,KAL,LN_NF_RF,2016__KAL__LN_NF_RF,440,220,440
2016,KIE,HN_NF_RF,2016__KIE__HN_NF_RF,660,220,641
2016,KIE,HN_WF_RF,2016__KIE__HN_WF_RF,660,220,634
2016,KIE,LN_NF_RF,2016__KIE__LN_NF_RF,660,220,629
2016,QLB,HN_NF_RF,2016__QLB__HN_NF_RF,440,220,440
2016,QLB,HN_WF_RF,2016__QLB__HN_WF_RF,440,220,440
2016,QLB,LN_NF_RF,2016__QLB__LN_NF_RF,440,220,440
2017,GGE,HN_NF_RF,2017__GGE__HN_NF_RF,440,220,440
2017,GGE,HN_WF_RF,2017__GGE__HN_WF_RF,880,220,880
2017,GGE,LN_NF_RF,2017__GGE__LN_NF_RF,440,220,440
2017,HAN,HN_NF_RF,2017__HAN__HN_NF_RF,440,220,440
2017,HAN,HN_WF_RF,2017__HAN__HN_WF_RF,440,220,438
2017,HAN,LN_NF_RF,2017__HAN__LN_NF_RF,440,220,439
2017,KAL,HN_NF_RF,2017__KAL__HN_NF_RF,440,220,440
2017,KAL,HN_WF_RF,2017__KAL__HN_WF_RF,440,220,437
2017,KAL,LN_NF_RF,2017__KAL__LN_NF_RF,440,220,440
2017,KIE,HN_NF_RF,2017__KIE__HN_NF_RF,660,220,607
2017,KIE,HN_WF_RF,2017__KIE__HN_WF_RF,660,220,618
2017,KIE,LN_NF_RF,2017__KIE__LN_NF_RF,660,220,571
2017,QLB,HN_NF_RF,2017__QLB__HN_NF_RF,440,220,440
2017,QLB,HN_WF_RF,2017__QLB__HN_WF_RF,440,220,440
2017,QLB,LN_NF_RF,2017__QLB__LN_NF_RF,440,220,440
