BRISONr,BLUE,Trait,n_obs_modelo,n_genotipos_modelo,singular,status_modelo,Condition,Year,Location,Treatment,Nitrogen,Fungicide,Water,Trait_abbrev
BRISONr_1,75.24566713731858,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_10,76.57880503520441,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_100,67.53159710318779,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_101,76.46939671861327,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_102,66.68203976891276,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_103,74.93696205746204,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_104,57.09630895989394,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_105,76.26262802515099,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_106,68.60364479204233,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_107,65.89243187926058,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_108,72.47805375442802,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_109,64.69342780552091,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_11,78.38929286889027,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_110,61.82694787893369,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_111,67.81839246350737,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_112,60.593740358651104,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_113,70.36941008232405,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_114,64.18998470337914,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
BRISONr_115,73.59614002725574,Seedyield,439,220,FALSE,lmer_ok,2015__GGE__HN_NF_RF,2015,GGE,HN_NF_RF,HN,NF,RF,GY
