Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,NMI_bins_4,NMI_bins_6,NMI_bins_8,p_MI_FDR,Year_1,Location_1,Treatment_1,Nitrogen_1,Fungicide_1,Water_1,Year_2,Location_2,Treatment_2,Nitrogen_2,Fungicide_2,Water_2,same_year,same_location,same_management,same_nitrogen,same_fungicide,same_water,z_R2,z_NMI,MI_advantage
2016__QLB__HN_NF_RF,2016__QLB__LN_NF_RF,220,0.8194862460105367,0.8978547640916699,0.40948425591132137,0.03276976703188717,0.3767144888794342,40.51739531429524,0.001,0.3870983719526156,0.40948425591132137,0.39724718376064977,0.0010112359550561798,2016,QLB,HN_NF_RF,HN,NF,RF,2016,QLB,LN_NF_RF,LN,NF,RF,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2.294234599111506,3.728683228317877,1.4344486292063707
2017__KAL__HN_NF_RF,2017__KAL__HN_WF_RF,220,0.5683927884191722,0.7541876334785279,0.2988139500820556,0.0331075759778231,0.2657063741042325,28.18849965831254,0.001,0.24277383379371986,0.2988139500820556,0.2524462118670098,0.0010112359550561798,2017,KAL,HN_NF_RF,HN,NF,RF,2017,KAL,HN_WF_RF,HN,WF,RF,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.7163421849712124,1.8794817352662878,1.1631395502950754
2015__HAN__LN_NF_RF,2015__KAL__HN_NF_RF,220,0.8375340445409966,0.8948794960076185,0.39988049941844855,0.033201941654515565,0.366678557763933,37.44469308134066,0.001,0.38845291894817435,0.39988049941844855,0.37655831816615026,0.0010112359550561798,2015,HAN,LN_NF_RF,LN,NF,RF,2015,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2.4076484835922796,3.561502127724197,1.1538536441319174
2015__HAN__HN_NF_RF,2015__HAN__LN_NF_RF,220,0.8406149841341332,0.893159700895398,0.3947349904249984,0.03348825868983556,0.3612467317351628,38.55962460195333,0.001,0.38431443049552644,0.3947349904249984,0.3972614452765054,0.0010112359550561798,2015,HAN,HN_NF_RF,HN,NF,RF,2015,HAN,LN_NF_RF,LN,NF,RF,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2.4270093672212996,3.4710173841291985,1.044008016907899
2015__QLB__HN_WF_RF,2016__HAN__LN_NF_RF,220,0.13726652029903072,0.5052343305365062,0.12813594051811358,0.03265870516162149,0.0954772353564921,10.054040283316262,0.001,0.12493957818106631,0.12813594051811358,0.14618039623295906,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2016,HAN,LN_NF_RF,LN,NF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.9928915582291964,-0.9562386818462153,1.036652876382981
2016__HAN__HN_NF_RF,2017__HAN__HN_NF_RF,220,0.801643193484292,0.86898902869894,0.37887320177729317,0.03320221961349378,0.3456709821637994,36.88344343680426,0.001,0.36265524060969223,0.37887320177729317,0.35118167750795776,0.0010112359550561798,2016,HAN,HN_NF_RF,HN,NF,RF,2017,HAN,HN_NF_RF,HN,NF,RF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.1821073557482507,3.2115525745421682,1.0294452187939176
2015__KIE__HN_NF_RF,2015__KIE__HN_WF_RF,220,0.7111167624030216,0.8160788446042273,0.34360276143248375,0.032903446565417965,0.3106993148670658,33.1393351037782,0.001,0.3342254946413222,0.34360276143248375,0.31326599582730896,0.0010112359550561798,2015,KIE,HN_NF_RF,HN,NF,RF,2015,KIE,HN_WF_RF,HN,WF,RF,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1.6132316460720806,2.628985619769689,1.0157539736976084
2017__GGE__LN_NF_RF,2017__KAL__HN_NF_RF,220,0.5547075783216813,0.7201354648574633,0.28500739356652827,0.033358739061193916,0.25164865450533436,26.474648905401246,0.001,0.2201669251156108,0.28500739356652827,0.22485291423240905,0.0010112359550561798,2017,GGE,LN_NF_RF,LN,NF,RF,2017,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.630343173265024,1.6453046561957567,1.0149614829307327
2015__QLB__HN_WF_RF,2016__KAL__LN_NF_RF,220,0.142816895700046,0.5402297943796736,0.1279733055563108,0.032269486320896594,0.09570381923541421,10.85740547955453,0.001,0.12868324068781675,0.1279733055563108,0.15312516099578607,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2016,KAL,LN_NF_RF,LN,NF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.9580125322087512,-0.9524641897917137,1.0055483424170375
2016__GGE__HN_NF_RF,2016__HAN__HN_NF_RF,220,0.7988164610463149,0.8351183063511831,0.3738983429158006,0.03263083739481922,0.3412675055209814,35.90171390611047,0.001,0.346998096273507,0.3738983429158006,0.32297104680007516,0.0010112359550561798,2016,GGE,HN_NF_RF,HN,NF,RF,2016,HAN,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.1643439312708703,3.1381983373406204,0.97385440606975
2015__HAN__HN_NF_RF,2015__KAL__HN_NF_RF,220,0.8287185844640794,0.8776161791472026,0.38258593364786064,0.03331640323831197,0.34926953040954867,36.96132674570343,0.001,0.40469663578481885,0.38258593364786064,0.38930604199963087,0.0010112359550561798,2015,HAN,HN_NF_RF,HN,NF,RF,2015,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.352251390749019,3.2714981091756807,0.919246718426662
2015__HAN__HN_NF_RF,2015__QLB__LN_NF_RF,220,0.6885847856171489,0.8178335765765259,0.32898279767968125,0.03285693704401881,0.29612586063566243,31.298715706192468,0.001,0.29929917591094174,0.32898279767968125,0.32138808658017676,0.0010112359550561798,2015,HAN,HN_NF_RF,HN,NF,RF,2015,QLB,LN_NF_RF,LN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1.471638808142095,2.38621730163183,0.914578493489735
2017__GGE__HN_NF_RF,2017__KAL__HN_NF_RF,220,0.5896195023290869,0.7653392538162885,0.29108658109329616,0.033005099286832755,0.2580814818064634,27.210977456686166,0.001,0.2702841513026992,0.29108658109329616,0.2613919322624661,0.0010112359550561798,2017,GGE,HN_NF_RF,HN,NF,RF,2017,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.849732641165769,1.7524643343317214,0.9027316931659525
2015__GGE__HN_NF_RF,2015__KAL__HN_NF_RF,220,0.8209518423370413,0.867935287919172,0.37644110571654926,0.03336966986336532,0.34307143585318395,35.806682758064596,0.001,0.3916556926686692,0.37644110571654926,0.3596870165450084,0.0010112359550561798,2015,GGE,HN_NF_RF,HN,NF,RF,2015,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2.303444529740392,3.168248668980116,0.8648041392397241
2015__HAN__LN_NF_RF,2015__QLB__LN_NF_RF,220,0.6459099756543497,0.7920197449609214,0.3094091337792287,0.0324185567563093,0.2769905770229194,29.510016231429624,0.001,0.2617810615633986,0.3094091337792287,0.26367942581016884,0.0010112359550561798,2015,HAN,LN_NF_RF,LN,NF,RF,2015,QLB,LN_NF_RF,LN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1.2034667117397904,2.0674568659798345,0.8639901542400441
2015__QLB__HN_WF_RF,2017__HAN__LN_NF_RF,220,0.23044433782328394,0.5613046099750371,0.15072148785198441,0.032997859811527676,0.11772362804045675,12.168419900923576,0.001,0.13382401141787548,0.15072148785198441,0.17106686496595985,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2017,HAN,LN_NF_RF,LN,NF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.407354313061547,-0.5856525976711395,0.8217017153904074
2015__QLB__HN_WF_RF,2016__KAL__HN_WF_RF,220,0.13013058241897538,0.4923741850413889,0.11123192942610541,0.033130389881900923,0.07810153954420448,8.188418198630547,0.001,0.09844186386943521,0.11123192942610541,0.14724381751375315,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2016,KAL,HN_WF_RF,HN,WF,RF,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,-2.0377343922748374,-1.2456874550639216,0.7920469372109158
2015__QLB__LN_NF_RF,2016__QLB__HN_NF_RF,220,0.41743115391981067,0.6418892952333726,0.2190106666421201,0.03298979592886329,0.18602087071325682,19.520676423638978,0.001,0.18281302943961605,0.2190106666421201,0.2197311544358447,0.0010112359550561798,2015,QLB,LN_NF_RF,LN,NF,RF,2016,QLB,HN_NF_RF,HN,NF,RF,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,-0.23231342791383763,0.5520602927567765,0.7843737206706141
2015__QLB__HN_WF_RF,2016__HAN__HN_NF_RF,220,0.1665460127904412,0.4968923099462987,0.12448391994105926,0.033328267402704816,0.09115565253835445,9.380978191128138,0.001,0.1103396183110708,0.12448391994105926,0.13196828267636762,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2016,HAN,HN_NF_RF,HN,NF,RF,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.8088967638795121,-1.0282287108258936,0.7806680530536185
