grupo,mesmo,n_pares,R2_medio,NMI_corrigida_media
Ano,FALSE,675,0.4405369013650914,0.1454201847176727
Ano,TRUE,315,0.48410568400468834,0.16886697599468944
Local,FALSE,810,0.43958183182654054,0.14725961880922475
Local,TRUE,180,0.5210800839078648,0.17817461604046778
Manejo,FALSE,675,0.43093490765613485,0.14445017700211923
Manejo,TRUE,315,0.5046813848095952,0.17094556395658972
Nitrogênio,FALSE,450,0.4597413205249974,0.1535024083074268
Nitrogênio,TRUE,540,0.44994834193826794,0.1523622933044707
Fungicida,FALSE,450,0.4002496409521438,0.13602832393133243
Fungicida,TRUE,540,0.4995247415823125,0.16692403028454933
