tipo,nivel,n_pares,R2_medio,NMI_corrigida_media
Location,GGE,36,0.5785149882932287,0.2055784931738341
Location,HAN,36,0.5971765908394236,0.2005722477812978
Location,KAL,36,0.5189142341352546,0.16710228027959473
Location,KIE,36,0.5442061898205247,0.1898871085617236
Location,QLB,36,0.3665884164508923,0.12773295040588858
Year,2015,105,0.5002290379436797,0.17970425981871907
Year,2016,105,0.5015754543350022,0.16550101968281983
Year,2017,105,0.45051255973538307,0.16139564848252938
Treatment,HN_NF_RF,105,0.5406083757263165,0.189841600011871
Treatment,HN_WF_RF,105,0.48769459730180453,0.17033557365036475
Treatment,LN_NF_RF,105,0.4857411814006646,0.15265951820753343
