grupo,metrica,diferenca_observada,p_permutacao,B
Fungicide,NMI_corrigida,0.030895706353216895,0.001,999
Fungicide,R2_SMA,0.0992751006301687,0.001,999
Location,NMI_corrigida,0.030914997231243024,0.001,999
Location,R2_SMA,0.08149825208132422,0.001,999
Nitrogen,NMI_corrigida,-0.0011401150029561047,0.875,999
Nitrogen,R2_SMA,-0.00979297858672945,0.587,999
Treatment,NMI_corrigida,0.026495386954470485,0.001,999
Treatment,R2_SMA,0.07374647715346039,0.001,999
Year,NMI_corrigida,0.023446791277016737,0.001,999
Year,R2_SMA,0.04356878263959696,0.001,999
