Trait,Trait_abbrev,Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI
Seedyield,GY,2015__GGE__HN_NF_RF,2015__GGE__HN_WF_RF,220,0.5631003976233457,0.7316691366651077,0.2548047127298008,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__GGE__LN_NF_RF,220,0.8201269242889073,0.8560161836551845,0.34065712399597126,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__HAN__HN_NF_RF,220,0.7380872913007575,0.7939097163915859,0.3102994550466699,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__HAN__HN_WF_RF,220,0.5533469460236499,0.7150143973673385,0.22061378527450218,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__HAN__LN_NF_RF,220,0.8003935373781395,0.8441692071023256,0.35496707370024677,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KAL__HN_NF_RF,220,0.8209518423370413,0.867935287919172,0.37644110571654926,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KAL__HN_WF_RF,220,0.4201740518007426,0.6375131717597472,0.17985033313487483,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KAL__LN_NF_RF,220,0.7693706332515364,0.8179079582786271,0.3209043289372207,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KIE__HN_NF_RF,220,0.6551183351858747,0.7603816006716894,0.23852409489139573,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KIE__HN_WF_RF,220,0.4104553911463858,0.6147241960295949,0.18322177795529385,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__KIE__LN_NF_RF,220,0.5382066476832996,0.6711077802133403,0.2031053162525015,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__QLB__HN_NF_RF,220,0.5051139528354581,0.7438463228954768,0.23477764607973442,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2015__QLB__HN_WF_RF,220,0.18822723499674543,0.49059578616387645,0.11951767867597624,NA,NA,NA,NA
