Condition,Trait,Trait_abbrev,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,Year,Location,Treatment,Nitrogen,Fungicide,Water,p_MI_FDR_dentro_trait,z_R2,z_NMI,MI_advantage
2015__GGE__HN_NF_RF,Harvest_Index,HI,220,0.5989163383841233,0.7403999706981174,0.2424440010592356,0.032111958216195155,0.21033204284304047,21.851598271985228,0.005,2015,GGE,HN_NF_RF,HN,NF,RF,0.005,0.7291291153173026,0.6807845458127955,-0.04834456950450716
2015__GGE__HN_NF_RF,Straw,Straw,220,0.049161447023065,0.16237863667356014,0.044782337903500544,0.034500466182705705,0.010281871720794838,1.130970758438152,0.12,2015,GGE,HN_NF_RF,HN,NF,RF,0.1588235294117647,-0.8327091629566762,-0.9921332410354378,-0.15942407807876158
2015__GGE__HN_NF_RF,Biomass,SDM,220,0.6554815329508211,0.7849591182387315,0.27277785925939035,0.034126233829494715,0.23865162542989565,26.34271536360339,0.005,2015,GGE,HN_NF_RF,HN,NF,RF,0.005,0.16947512763767622,-0.023299196429742968,-0.19277432406741918
2015__GGE__HN_NF_RF,Grain,GN,220,0.6759646834838173,0.8083735764638262,0.2814965519819452,0.033725613890057696,0.2477709380918875,24.69589290037319,0.005,2015,GGE,HN_NF_RF,HN,NF,RF,0.005,-0.12411644815331178,-0.17763110379500752,-0.05351465564169573
2015__GGE__HN_NF_RF,Crude_protein,GP,220,0.06182058819867918,-0.30955410423581253,0.09288929160210749,0.032903307752009246,0.05998598385009824,6.054687557699694,0.005,2015,GGE,HN_NF_RF,HN,NF,RF,0.005921052631578947,-1.306092038485459,-0.6751968182398919,0.6308952202455672
2015__GGE__HN_NF_RF,Grain_per_spike,GpS,220,0.3732432675066835,0.5773834545792644,0.13063589740164303,0.0324860057645883,0.09814989163705473,9.869951774094627,0.005,2015,GGE,HN_NF_RF,HN,NF,RF,0.006999999999999999,1.4320384759293336,1.1472990874248805,-0.28473938850445313
2015__GGE__HN_NF_RF,Spike_number,SN,220,0.010209097204586518,0.14235079988504645,0.03890067595292159,0.03219921041240172,0.006701465540519869,0.8141331841444319,0.195,2015,GGE,HN_NF_RF,HN,NF,RF,0.36562500000000003,-0.4592054654632673,-0.37724747438682593,0.08195799107644136
2015__GGE__HN_NF_RF,TGW,TGW,220,0.19588901584400695,0.279727041693198,0.04161328443663837,0.033213862664480995,0.008399421772157377,0.9058262352994322,0.155,2015,GGE,HN_NF_RF,HN,NF,RF,0.2034375,0.18218936536593264,-0.6924834615743307,-0.8746728269402634
2015__GGE__HN_WF_RF,Harvest_Index,HI,220,0.5241642466376074,0.6874097699238715,0.19882939440166256,0.0327178106953875,0.16611158370627505,18.46045004847929,0.005,2015,GGE,HN_WF_RF,HN,WF,RF,0.005,0.24465884727927925,-0.06637462887778212,-0.31103347615706134
2015__GGE__HN_WF_RF,Straw,Straw,220,0.021739140149304174,0.08510393715873169,0.05577524522723151,0.033670519216367364,0.022104726010864148,2.3492427201277604,0.015,2015,GGE,HN_WF_RF,HN,WF,RF,0.021774193548387097,-1.0012776756730122,-0.7246013842973806,0.27667629137563154
