arquivo,Location_original,Year,Location
Management_information_DKI_2016.xlsx,DKI,2016,KIE
Management_information_DKI_2017.xlsx,DKI,2017,KIE
Management_information_DKI_2019.xlsx,DKI,2019,KIE
Management_information_GGE_2015.xlsx,GGE,2015,GGE
Management_information_GGE_2016.xlsx,GGE,2016,GGE
Management_information_GGE_2018.xlsx,GGE,2018,GGE
Management_information_GGE_2019.xlsx,GGE,2019,GGE
Management_information_HAN_2015.xlsx,HAN,2015,HAN
Management_information_HAN_2016.xlsx,HAN,2016,HAN
Management_information_HAN_2017.xlsx,HAN,2017,HAN
Management_information_HAN_2018.xlsx,HAN,2018,HAN
Management_information_HAN_2019.xlsx,HAN,2019,HAN
Management_information_KAL_2015.xlsx,KAL,2015,KAL
Management_information_KAL_2016.xlsx,KAL,2016,KAL
Management_information_KAL_2017.xlsx,KAL,2017,KAL
Management_information_KAL_2018.xlsx,KAL,2018,KAL
Management_information_KAL_2019.xlsx,KAL,2019,KAL
Management_information_KAL_2020.xlsx,KAL,2020,KAL
Management_information_KIE_2015.xlsx,KIE,2015,KIE
Management_information_KIE_2016.xlsx,KIE,2016,KIE
Management_information_KIE_2017.xlsx,KIE,2017,KIE
Management_information_KIE_2018.xlsx,KIE,2018,KIE
Management_information_KIE_2019.xlsx,KIE,2019,KIE
Management_information_QLB_2015.xlsx,QLB,2015,QLB
Management_information_QLB_2016.xlsx,QLB,2016,QLB
Management_information_QLB_2017.xlsx,QLB,2017,QLB
Management_information_RHH_2015.xlsx,RHH,2015,RHH
Management_information_RHH_2016.xlsx,RHH,2016,RHH
Management_information_RHH_2017.xlsx,RHH,2017,RHH
Management_information_RHH_2018.xlsx,RHH,2018,RHH
Management_information_RHH_2019.xlsx,RHH,2019,RHH
