BRISONr,Merito_multicarater,DP_indice_local,n_ambientes,Fracao_ambientes,Entropia_Shannon,Entropia_normalizada,Fracao_quartil_superior,Fracao_quartil_inferior,genotype,RYear,Genotipo,Quadrante,Pareto,Z_merito,Z_estabilidade,Escore_integrado_exploratorio,Rank_exploratorio
BRISONr_29,0.6927558585413884,0.3926761468909834,45,1,0.49602180343763114,0.35780409799613533,0.8444444444444444,0.022222222222222223,BRISONr_29,NA,BRISONr_29,Superior e estável,TRUE,2.1301683244265814,2.39414737103603,4.524315695462612,1
BRISONr_26,0.5684979223185707,0.2621954565773197,45,1,0.567977735451997,0.40970933113596986,0.8222222222222222,0,BRISONr_26,NA,BRISONr_26,Superior e estável,FALSE,1.7490582412878486,2.1195343508029727,3.8685925920908213,2
BRISONr_81,0.5294635610268679,0.28019695065396694,45,1,0.6409067376216963,0.46231648601957265,0.7777777777777778,0,BRISONr_81,NA,BRISONr_81,Superior e estável,FALSE,1.6293364019481702,1.8412077002023535,3.470544102150524,3
BRISONr_5,0.482539732014622,0.32041734368327446,45,1,0.8298192254341797,0.598588040684106,0.6666666666666666,0,BRISONr_5,NA,BRISONr_5,Superior e estável,FALSE,1.4854168671509973,1.1202410281624524,2.60565789531345,4
BRISONr_44,0.38933488398688204,0.2474453079948596,45,1,0.7794681002126134,0.5622673813539395,0.7111111111111111,0,BRISONr_44,NA,BRISONr_44,Superior e estável,FALSE,1.1995493526842467,1.3124013432629038,2.5119506959471503,5
BRISONr_90,0.4090878460758841,0.2784737773909653,45,1,0.8227555098317418,0.5934926469491624,0.6888888888888889,0,BRISONr_90,NA,BRISONr_90,Superior e estável,FALSE,1.2601334348991373,1.147199031781467,2.4073324666806046,6
BRISONr_61,0.3892268272863628,0.29553626530571203,45,1,0.8648354880430393,0.6238469348922396,0.6444444444444445,0.044444444444444446,BRISONr_61,NA,BRISONr_61,Superior e estável,FALSE,1.1992179332242878,0.9866047682586407,2.1858227014829286,7
BRISONr_17,0.39104011613022255,0.23961817206166347,45,1,0.8748322822888748,0.6310580976338667,0.5555555555555556,0,BRISONr_17,NA,BRISONr_17,Superior e estável,FALSE,1.2047794505248706,0.9484529469473801,2.1532323974722507,8
BRISONr_91,0.38386985406539015,0.29983927527118714,45,1,0.904285827008438,0.6523043390856242,0.6666666666666666,0.022222222222222223,BRISONr_91,NA,BRISONr_91,Superior e estável,FALSE,1.182787622439503,0.8360462746191855,2.0188338970586885,9
BRISONr_83,0.353667764709449,0.2607999021214544,45,1,0.9312226207091806,0.6717351284303795,0.4666666666666667,0,BRISONr_83,NA,BRISONr_83,Superior e estável,FALSE,1.0901551424925802,0.7332445449149699,1.8233996874075502,10
BRISONr_80,0.336397564158211,0.2219719607705336,45,1,0.9181492403972991,0.6623046779585761,0.5333333333333333,0,BRISONr_80,NA,BRISONr_80,Superior e estável,FALSE,1.0371859095568068,0.7831378664466044,1.8203237760034112,11
BRISONr_75,0.4033374615228135,0.36038417780061,45,1,0.9972410991139942,0.7193573941312094,0.6444444444444445,0.044444444444444446,BRISONr_75,NA,BRISONr_75,Superior e estável,FALSE,1.2424964967548355,0.4812912557501905,1.723787752505026,12
BRISONr_180,0.37335536787990703,0.3627022530868606,45,1,0.984127639631629,0.7098980326491561,0.6,0.044444444444444446,BRISONr_180,NA,BRISONr_180,Superior e estável,FALSE,1.1505387631221802,0.5313375356515775,1.6818762987737577,13
BRISONr_167,0.40456101747202705,0.4301733051723662,45,1,1.0241380751609885,0.7387594611101633,0.6222222222222222,0.044444444444444446,BRISONr_167,NA,BRISONr_167,Superior e estável,FALSE,1.24624925109556,0.3786414863618007,1.6248907374573607,14
BRISONr_51,0.3749773017796261,0.3218880326194418,45,1,1.0043949075985639,0.7245177761432884,0.5777777777777777,0.022222222222222223,BRISONr_51,NA,BRISONr_51,Superior e estável,FALSE,1.1555133778804603,0.45398942115336627,1.6095027990338266,15
BRISONr_88,0.309130741972331,0.24354206135230852,45,1,0.9812079668975191,0.7077919339618965,0.4666666666666667,0.022222222222222223,BRISONr_88,NA,BRISONr_88,Superior e estável,FALSE,0.9535561536951324,0.5424801909568544,1.4960363446519866,16
BRISONr_35,0.3315553371453642,0.2859048905928844,45,1,1.0116673816511554,0.7297637572686222,0.5555555555555556,0.044444444444444446,BRISONr_35,NA,BRISONr_35,Superior e estável,FALSE,1.0223343709304655,0.42623471062095303,1.4485690815514185,17
BRISONr_85,0.4206386466703529,0.47489748456551517,45,1,1.086048565422559,0.7834184397498494,0.5555555555555556,0.044444444444444446,BRISONr_85,NA,BRISONr_85,Superior e estável,FALSE,1.2955607621885836,0.14236594605687028,1.4379267082454539,18
BRISONr_25,0.35299697329005025,0.3898515871647837,45,1,1.0589968362122275,0.7639047419602413,0.6,0.044444444444444446,BRISONr_25,NA,BRISONr_25,Superior e estável,FALSE,1.0880977658662907,0.2456063162808677,1.3337040821471584,19
BRISONr_152,-0.6091835375138989,0.2744084593383474,45,1,0.2873643046809562,0.20728952864586034,0,0.9333333333333333,BRISONr_152,NA,BRISONr_152,Inferior e estável,TRUE,-1.8629949821204908,3.190469012959952,1.3274740308394612,20
BRISONr_146,0.34167699869132695,0.36822158633520574,45,1,1.0549843397595797,0.7610103375933315,0.5333333333333333,0.044444444444444446,BRISONr_146,NA,BRISONr_146,Superior e estável,FALSE,1.0533784023263097,0.2609196301201779,1.3142980324464877,21
BRISONr_70,0.2784533841057119,0.24704527949822508,45,1,1.0163800862903647,0.7331632550747029,0.4,0,BRISONr_70,NA,BRISONr_70,Superior e estável,FALSE,0.859465983180318,0.40824911835343586,1.2677151015337538,22
BRISONr_12,0.3697591398955599,0.3873469761761241,45,1,1.0934126909523396,0.7887305334409986,0.5111111111111111,0.022222222222222223,BRISONr_12,NA,BRISONr_12,Superior e estável,FALSE,1.1395088137462086,0.11426145631577823,1.2537702700619868,23
BRISONr_96,0.2753774005385857,0.2361549825301461,45,1,1.0205631922894487,0.7361807282148987,0.4444444444444444,0.022222222222222223,BRISONr_96,NA,BRISONr_96,Superior e estável,FALSE,0.8500316694564951,0.39228468928962834,1.2423163587461235,24
BRISONr_42,0.36134656700182977,0.385748898694411,45,1,1.090105644574691,0.7863450037364869,0.4888888888888889,0.022222222222222223,BRISONr_42,NA,BRISONr_42,Superior e estável,FALSE,1.1137067084449346,0.12688248655461362,1.2405891949995482,25
BRISONr_58,0.3406567993545665,0.34670126420392927,45,1,1.0859872804921988,0.7833742320172935,0.5777777777777777,0.06666666666666667,BRISONr_58,NA,BRISONr_58,Superior e estável,FALSE,1.0502493607063552,0.14259983420687852,1.1928491949132338,26
BRISONr_67,0.31471205297917776,0.3690199990193204,45,1,1.0715987805361908,0.7729951232511116,0.4444444444444444,0,BRISONr_67,NA,BRISONr_67,Superior e estável,FALSE,0.9706745283157137,0.1975121856826914,1.168186713998405,27
BRISONr_141,0.3254867355569222,0.33187972288884016,45,1,1.1049261721394867,0.7970357545470313,0.5111111111111111,0.06666666666666667,BRISONr_141,NA,BRISONr_141,Superior e estável,FALSE,1.0037214329869308,0.07032134250323391,1.0740427754901647,28
BRISONr_3,0.33247937090041574,0.36332850131126593,45,1,1.1201038830178807,0.807984158655184,0.5555555555555556,0.06666666666666667,BRISONr_3,NA,BRISONr_3,Superior e estável,FALSE,1.0251684642038255,0.012397042061850603,1.0375655062656761,29
BRISONr_163,-0.5769493595948171,0.3133985238731206,45,1,0.4044323651250528,0.29173628377045413,0,0.8888888888888888,BRISONr_163,NA,BRISONr_163,Inferior e estável,TRUE,-1.7641299067773668,2.7436898142003403,0.9795599074229735,30
BRISONr_19,0.26070665132560195,0.2539087777779795,45,1,1.0803393647842918,0.7793001220257153,0.3111111111111111,0.022222222222222223,BRISONr_19,NA,BRISONr_19,Superior e estável,FALSE,0.8050351837411542,0.1641545712125841,0.9691897549537383,31
BRISONr_175,-0.8666044425380585,0.39041764878934054,45,1,0.18182028230491803,0.1311556098071683,0,0.9555555555555556,BRISONr_175,NA,BRISONr_175,Inferior e estável,TRUE,-2.65252767111899,3.593267808567834,0.9407401374488442,32
BRISONr_21,0.3127154381983127,0.32448994159251554,45,1,1.1332144060118239,0.8174414019085954,0.4666666666666667,0.022222222222222223,BRISONr_21,NA,BRISONr_21,Superior e estável,FALSE,0.9645507341480155,-0.03763803100874648,0.926912703139269,33
BRISONr_106,0.27053424114537006,0.27887778175275046,45,1,1.1047676248384253,0.7969213868445375,0.4888888888888889,0.022222222222222223,BRISONr_106,NA,BRISONr_106,Superior e estável,FALSE,0.8351772711370772,0.07092642330721255,0.9061036944442897,34
BRISONr_129,0.20895818111727452,0.2544863826137579,45,1,1.0606018056124555,0.765062482657485,0.26666666666666666,0,BRISONr_129,NA,BRISONr_129,Superior e estável,FALSE,0.6463180475734256,0.23948110211103035,0.8857991496844559,35
BRISONr_53,0.3146198706103771,0.37220736762706025,45,1,1.1470060734935028,0.8273899870492992,0.5333333333333333,0.08888888888888889,BRISONr_53,NA,BRISONr_53,Superior e estável,FALSE,0.9703917968354923,-0.09027262770103502,0.8801191691344572,36
BRISONr_36,0.3082613727303982,0.3471739779814232,45,1,1.162592949137324,0.8386335411464461,0.4888888888888889,0.044444444444444446,BRISONr_36,NA,BRISONr_36,Superior e estável,FALSE,0.9508897213195203,-0.1497584668350793,0.801131254484441,37
BRISONr_142,0.2903141895035502,0.3874546068387073,45,1,1.1509491054426957,0.8302342833688828,0.5111111111111111,0.06666666666666667,BRISONr_142,NA,BRISONr_142,Superior e estável,FALSE,0.8958441226269347,-0.10532083682196054,0.7905232858049741,38
