Genotipo,BRISONr,Merito_multicarater,Entropia_normalizada,Fracao_quartil_superior,n_ambientes,Pareto,RYear
BRISONr_29,BRISONr_29,0.6927558585413884,0.35780409799613533,0.8444444444444444,45,TRUE,NA
BRISONr_26,BRISONr_26,0.5684979223185707,0.40970933113596986,0.8222222222222222,45,FALSE,NA
BRISONr_81,BRISONr_81,0.5294635610268679,0.46231648601957265,0.7777777777777778,45,FALSE,NA
BRISONr_5,BRISONr_5,0.482539732014622,0.598588040684106,0.6666666666666666,45,FALSE,NA
BRISONr_85,BRISONr_85,0.4206386466703529,0.7834184397498494,0.5555555555555556,45,FALSE,NA
BRISONr_90,BRISONr_90,0.4090878460758841,0.5934926469491624,0.6888888888888889,45,FALSE,NA
BRISONr_167,BRISONr_167,0.40456101747202705,0.7387594611101633,0.6222222222222222,45,FALSE,NA
BRISONr_75,BRISONr_75,0.4033374615228135,0.7193573941312094,0.6444444444444445,45,FALSE,NA
BRISONr_17,BRISONr_17,0.39104011613022255,0.6310580976338667,0.5555555555555556,45,FALSE,NA
BRISONr_44,BRISONr_44,0.38933488398688204,0.5622673813539395,0.7111111111111111,45,FALSE,NA
BRISONr_61,BRISONr_61,0.3892268272863628,0.6238469348922396,0.6444444444444445,45,FALSE,NA
BRISONr_91,BRISONr_91,0.38386985406539015,0.6523043390856242,0.6666666666666666,45,FALSE,NA
BRISONr_51,BRISONr_51,0.3749773017796261,0.7245177761432884,0.5777777777777777,45,FALSE,NA
BRISONr_180,BRISONr_180,0.37335536787990703,0.7098980326491561,0.6,45,FALSE,NA
BRISONr_12,BRISONr_12,0.3697591398955599,0.7887305334409986,0.5111111111111111,45,FALSE,NA
BRISONr_42,BRISONr_42,0.36134656700182977,0.7863450037364869,0.4888888888888889,45,FALSE,NA
BRISONr_83,BRISONr_83,0.353667764709449,0.6717351284303795,0.4666666666666667,45,FALSE,NA
BRISONr_25,BRISONr_25,0.35299697329005025,0.7639047419602413,0.6,45,FALSE,NA
BRISONr_146,BRISONr_146,0.34167699869132695,0.7610103375933315,0.5333333333333333,45,FALSE,NA
BRISONr_58,BRISONr_58,0.3406567993545665,0.7833742320172935,0.5777777777777777,45,FALSE,NA
